"GeneID","Symbol","Description"
"100038955","Gm1982","predicted gene 1982"
"100038960","Gm16431","X-linked lymphocyte-regulated complex pseudogene"
"100038967","Gm1988","predicted gene 1988"
"100038969","Rps12-ps18","ribosomal protein S12, pseudogene 18"
"100038971","Gm20792","predicted gene, 20792"
"100038973","Gm13835","proteasome (prosome, macropain) subunit, alpha type 3 pseudogene"
"100038975","Gm1992","predicted gene 1992"
"100038976","Gm12711","predicted gene 12711"
"100038977","Gm1993","predicted gene 1993"
"100038978","Rps12-ps17","ribosomal protein S12, pseudogene 17"
"100038982","Gm1995","REX1, RNA exonuclease 1 homolog pseudogene"
"100038991","Rpl35rt","ribosomal protein L35, retrotransposed"
"100038992","Ubl5c","ubiquitin-like 5C"
"100038996","Gm16380","SIVA1, apoptosis-inducing factor pseudogene"
"100038997","Gm2003","predicted pseudogene 2003"
"100038999","Gm13552","mitochondrial ribosomal protein S18B pseudogene"
"100039003","Gm2005","predicted pseudogene 2005"
"100039006","Gm12123","predicted gene 12123"
"100039008","Mup10","major urinary protein 10"
"100039014","Gm20793","predicted gene, 20793"
"100039019","Mup-ps12","major urinary protein, pseudogene 12"
"100039023","Gm15014","predicted gene 15014"
"100039026","Csnk2a1-ps3","casein kinase 2, alpha 1 polypeptide, pseudogene 3"
"100039027","Gm2011","predicted gene 2011"
"100039028","Mup11","major urinary protein 11"
"100039030","Gm2012","predicted gene 2012"
"100039032","Gm20794","predicted gene, 20794"
"100039034","Gm20795","predicted gene, 20795"
"100039036","Rps8-ps2","ribosomal protein S8, pseudogene 2"
"100039037","Gm20796","proline rich 14-like pseudogene"
"100039042","Eif1ad3","eukaryotic translation initiation factor 1A domain containing 3"
"100039043","Gm10731","FUN14 domain containing 2 pseudogene"
"100039045","Speer4a2","spermatogenesis associated glutamate (E)-rich protein 4A2"
"100039047","Gm2018","predicted gene 2018"
"100039052","Eif1ad4","eukaryotic translation initiation factor 1A domain containing 4"
"100039054","Mup12","major urinary protein 12"
"100039055","Gm16404","predicted gene 16404"
"100039060","Gm2026","predicted gene 2026"
"100039061","Gm20797","defensin, alpha pseudogene"
"100039062","Gm2027","nuclear assembly factor 1 homolog pseudogene"
"100039063","Mup-ps8","major urinary protein, pseudogene 8"
"100039065","Gm2030","predicted gene 2030"
"100039072","Gm2033","predicted gene 2033"
"100039076","Eif1ad14","eukaryotic translation initiation factor 1A domain containing 14"
"100039083","Gm2040","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 2, pseudogene"
"100039086","Gm15032","predicted gene 15032"
"100039087","Gm2042","predicted gene 2042"
"100039089","Mup13","major urinary protein 13"
"100039095","Gm2044","predicted gene 2044"
"100039106","Gm2048","potassium channel, subfamily K, member 17 pseudogene"
"100039110","Gm12922","ribosomal protein S2 pseudogene"
"100039112","Gm14938","lactate dehydrogenase A pseudogene"
"100039114","Gm11497","predicted gene 11497"
"100039116","Mup14","major urinary protein 14"
"100039120","Gm14525","predicted gene 14525"
"100039121","Gm2053","transforming, acidic coiled-coil containing protein 3 pseudogene"
"100039123","Gm14295","predicted gene 14295"
"100039124","Vmn1r-ps2","vomeronasal 1 receptor, pseudogene 2"
"100039129","Eif1ad11","eukaryotic translation initiation factor 1A domain containing 11"
"100039133","Gm2058","ubiquitin-conjugating enzyme E2H pseudogene"
"100039134","Gm2059","dpy-30 homolog pseudogene"
"100039138","Gm2061","predicted gene 2061"
"100039139","Ccdc152","coiled-coil domain containing 152"
"100039141","Vmn1r-ps3","vomeronasal 1 receptor, pseudogene 3"
"100039142","Btf3-ps8","basic transcription factor 3, pseudogene 8"
"100039145","Gm2066","predicted pseudogene 2066"
"100039148","Gm12128","predicted gene 12128"
"100039150","Mup15","major urinary protein 15"
"100039162","Eif1ad17","eukaryotic translation initiation factor 1A domain containing 17"
"100039163","Gm2076","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100039167","Gm2077","predicted gene 2077"
"100039170","Gm2080","a disintegrin and metallopeptidase domain 39 pseudogene"
"100039174","Gm10273","translocase of inner mitochondrial membrane 23 homolog pseudogene"
"100039176","Gm13580","predicted gene 13580"
"100039177","Mup16","major urinary protein 16"
"100039182","Gm16505","predicted gene 16505"
"100039184","Gm13861","predicted gene 13861"
"100039186","Gm2087","predicted gene 2087"
"100039190","Gm2089","predicted gene 2089"
"100039198","Gm14400","predicted gene 14400"
"100039202","Gm2098","ubiquitin-activating enzyme E1, Chr Y 1 pseudogene"
"100039203","Gm2099","predicted gene 2099"
"100039206","Mup17","major urinary protein 17"
"100039210","Gm2102","predicted gene 2102"
"100039214","Gm16374","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100039218","Gm2106","zinc finger protein 384 pseudogene"
"100039220","Gm12751","polymerase (RNA) I polypeptide D pseudogene"
"100039221","Gm2108","predicted gene 2108"
"100039222","Gm2109","predicted gene 2109"
"100039225","Gm10322","predicted gene 10322"
"100039226","Eif1ad18","eukaryotic translation initiation factor 1A domain containing 18"
"100039229","Gapdhrt2","glyceraldehyde-3-phosphate dehydrogenase, retrotransposed 2"
"100039239","Ctxnd1","cortexin domain containing 1"
"100039240","Gm10058","predicted gene 10058"
"100039241","Gm12134","predicted gene 12134"
"100039242","Gm2116","ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene"
"100039243","Gm15066","eukaryotic translation elongation factor pseudogene"
"100039248","Gm2117","predicted gene 2117"
"100039252","Gm12693","predicted gene 12693"
"100039256","Hmgb1-ps1","high mobility group box 1, pseudogene 1"
"100039258","Gm10290","glyceraldehyde-3-phosphate dehydrogenase pseudogene"
"100039262","Gm2123","solute carrier family 23 (nucleobase transporters), member 2 pseudogene"
"100039265","Gm12703","predicted gene 12703"
"100039269","Gm2128","predicted gene 2128"
"100039275","Rp31-ps19","ribosomal protein L31, pseudogene 19"
"100039281","Gm10250","ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d pseudogene"
"100039282","Gm2136","predicted gene 2136"
"100039285","Gm12140","predicted gene 12140"
"100039287","Gm2139","LSM14 homolog A pseudogene"
"100039289","Gm2141","ribosomal protein L17 pseudogene"
"100039290","Gm2142","DCN1, defective in cullin neddylation 1, domain containing 2 pseudogene"
