,Name,Term,ES,NES
114,4ZJQV2_27_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26584.086112252928,0.7344758996113514
115,4ZJQV2_9_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26581.624286907336,0.7344078833034837
116,4ZJQV2_6_count,Oxidative Phosphorylation (GO:0006119),26580.455176410254,0.7343755826450951
117,4ZJQV2_12_count,Oxidative Phosphorylation (GO:0006119),26580.291159155087,0.7343710511099303
118,4ZJQV2_17_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26577.29916719634,0.734288387144118
119,4ZJQV2_10_count,Oxidative Phosphorylation (GO:0006119),26577.010094520723,0.7342804005271405
120,4ZJQV2_28_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26576.112192387296,0.7342555929232821
121,4ZJQV2_8_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26575.600091455402,0.7342414443912973
122,4ZJQV2_24_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26574.886900076366,0.7342217400509826
123,4ZJQV2_3_count,Oxidative Phosphorylation (GO:0006119),26574.753675798274,0.7342180592766618
124,4ZJQV2_40_count,Oxidative Phosphorylation (GO:0006119),26574.238451840818,0.7342038244604618
125,4ZJQV2_4_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26573.659645917185,0.7341878329759449
126,4ZJQV2_19_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26571.001029605974,0.7341143796475644
127,4ZJQV2_36_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26570.436110485785,0.7340987718332782
128,4ZJQV2_34_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26570.20100419123,0.734092276221337
129,4ZJQV2_33_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26567.727946132705,0.7340239495715264
130,4ZJQV2_7_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26566.53321261972,0.7339909409900751
131,4ZJQV2_6_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26565.518975508967,0.7339629192363388
132,4ZJQV2_5_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26565.30593959097,0.7339570333937013
133,4ZJQV2_29_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26564.860817572775,0.7339447353822756
134,4ZJQV2_35_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26564.778585661632,0.7339424634457246
135,4ZJQV2_38_count,Oxidative Phosphorylation (GO:0006119),26558.89008886603,0.7337797736709831
136,4ZJQV2_8_count,Oxidative Phosphorylation (GO:0006119),26557.181805856162,0.7337325765360069
137,4ZJQV2_22_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26556.113524542492,0.7337030616271406
138,4ZJQV2_26_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26555.289230690003,0.7336802877026846
139,4ZJQV2_3_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26555.273130964088,0.7336798428929354
140,4ZJQV2_37_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26554.0902641527,0.7336471621695227
141,4ZJQV2_34_count,Oxidative Phosphorylation (GO:0006119),26553.645544139836,0.7336348752648632
142,4ZJQV2_31_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26552.54563494145,0.7336044865279864
143,4ZJQV2_9_count,Oxidative Phosphorylation (GO:0006119),26552.534536293984,0.7336041798900584
144,4ZJQV2_30_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26552.2399652316,0.7335960413614241
145,4ZJQV2_11_count,"Mitochondrial Electron Transport, NADH to Ubiquinone (GO:0006120)",26551.0970581103,0.7335644646605156
146,4ZJQV2_1_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26549.128541705417,0.7335100776918881
147,4ZJQV2_2_count,Proton Motive Force-Driven ATP Synthesis (GO:0015986),26548.23668447206,0.7334854370989775
148,4ZJQV2_23_count,Proton Motive Force-Driven Mitochondrial ATP Synthesis (GO:0042776),26547.514417998103,0.7334654820282642
